span_id,journal_id,text,span,gold_label,start_char,end_char,span_type,habit_id
gold_0210,journal_210,multiple things at once for 3 hours.,multiple things at once,PRODUCTIVITY,0,23,duration,multitasking
gold_0281,journal_281,Spent 2 hours appreciation.,appreciation,SOCIAL,14,26,duration,compliment_receive
gold_0034,journal_34,No blogged today. Too exhausted.,blogged,CREATIVE,3,10,negation,write
gold_0211,journal_211,Woke up and got distracted around 6am.,got distracted,PRODUCTIVITY,12,26,time,distraction
gold_0094,journal_94,gym time and it felt amazing.,gym time,FITNESS,0,8,positive,exercise
gold_0085,journal_85,netflix all night at 3am.,netflix all night,ENTERTAINMENT,0,17,time,binge_watch
gold_0330,journal_330,Managed to reflecting even though I was tired.,reflecting,WELLNESS,11,21,positive,reflect
gold_0095,journal_95,morning jog and it felt amazing.,morning jog,FITNESS,0,11,positive,running
gold_0267,journal_267,before 6am at 6am.,before 6am,SLEEP,0,10,time,wake_early
gold_0127,journal_127,read news today.,read news,INFORMATION,0,9,neutral,news
gold_0010,journal_10,Spent an hour overnight study.,overnight study,ACADEMICS,14,29,duration,all_nighter_study
gold_0362,journal_362,doom scrolling,scrolling,DIGITAL,5,14,edge_case,social_media
gold_0057,journal_57,endless scrolling today.,endless scrolling,DIGITAL,0,17,neutral,doom_scroll
gold_0073,journal_73,episode after episode for about an hour.,episode after episode,ENTERTAINMENT,0,21,neutral,binge_watch
gold_0133,journal_133,newspaper again. Need to stop this.,newspaper,INFORMATION,0,9,negative,news
gold_0043,journal_43,online shopping when I should have been working.,online shopping,DAILY_LIVING,0,15,negative,shopping
gold_0279,journal_279,Another day of helped someone. Getting worried.,helped someone,SOCIAL,15,29,negative,help_others
gold_0377,journal_377,mindless scrolling,scrolling,DIGITAL,9,18,edge_case,social_media
gold_0232,journal_232,Avoided building something all day.,building something,PROFESSIONAL,8,26,negation,side_project
gold_0386,journal_386,ate junk food again,ate junk food,NUTRITION,0,13,edge_case,junk_food
gold_0078,journal_78,Managed to movie marathon even though I was tired.,movie marathon,ENTERTAINMENT,11,25,positive,binge_watch
gold_0016,journal_16,Didn't studied with friends today. Feel bad about it.,studied with friends,ACADEMICS,7,27,negation,group_study
gold_0392,journal_392,didn't study at all,study,ACADEMICS,7,12,edge_case,study
gold_0272,journal_272,volunteer activity like usual.,volunteer activity,SOCIAL,0,18,neutral,volunteer
gold_0001,journal_1,went to lecture like usual.,went to lecture,ACADEMICS,0,15,neutral,attend_lecture
gold_0397,journal_397,mindless scrolling,scrolling,DIGITAL,9,18,edge_case,social_media
gold_0115,journal_115,Can't believe I made something for the third time this week.,made something,HOBBIES,16,30,negative,creative_work
gold_0226,journal_226,3 hours of business meeting today.,business meeting,PROFESSIONAL,11,27,duration,meeting
gold_0263,journal_263,2 hours of up before dawn today.,up before dawn,SLEEP,11,25,duration,wake_early
gold_0105,journal_105,Woke up and riding bike around 6am.,riding bike,FITNESS,12,23,time,cycling
gold_0396,journal_396,excessive coffee drinking,coffee,NUTRITION,10,16,edge_case,caffeine
gold_0194,journal_194,skipped breakfast at 3am.,skipped breakfast,NUTRITION,0,17,time,skip_meal
gold_0262,journal_262,Spent 30 minutes trouble sleeping.,trouble sleeping,SLEEP,17,33,duration,insomnia
gold_0058,journal_58,Actually social media time like I planned.,social media time,DIGITAL,9,26,positive,social_media
gold_0233,journal_233,Skipped stayed late at office again.,stayed late at office,PROFESSIONAL,8,29,negation,overtime
gold_0117,journal_117,Another day of planting. Getting worried.,planting,HOBBIES,15,23,negative,garden
gold_0114,journal_114,crafts in the morning. Great start.,crafts,HOBBIES,0,6,positive,creative_work
gold_0343,journal_343,feeling really anxious lately,anxious,MENTAL_STATE,15,22,edge_case,anxiety
gold_0159,journal_159,Late night listening to songs at 11pm.,listening to songs,LEISURE,11,29,time,listen_music
gold_0142,journal_142,Failed to newspaper like I planned.,newspaper,INFORMATION,10,19,negation,news
gold_0382,journal_382,doom scrolling,scrolling,DIGITAL,5,14,edge_case,social_media
gold_0056,journal_56,Spent some time scrolling bad news.,scrolling bad news,DIGITAL,16,34,neutral,doom_scroll
gold_0077,journal_77,Managed to performance even though I was tired.,performance,ENTERTAINMENT,11,22,positive,concert_event
gold_0026,journal_26,wrote when I should have been working.,wrote,CREATIVE,0,5,negative,write
gold_0083,journal_83,youtube binge for 30 minutes.,youtube binge,ENTERTAINMENT,0,13,duration,binge_watch
gold_0383,journal_383,feeling really anxious lately,anxious,MENTAL_STATE,15,22,edge_case,anxiety
gold_0149,journal_149,Finally time with pet after putting it off.,time with pet,LEISURE,8,21,positive,pet_time
gold_0182,journal_182,Did my regular snacked at night.,snacked at night,NUTRITION,15,31,neutral,late_night_snack
gold_0023,journal_23,Managed to blogged even though I was tired.,blogged,CREATIVE,11,18,positive,write
gold_0174,journal_174,Spent 45 minutes overloaded.,overloaded,MENTAL_STATE,17,27,duration,overwhelmed
gold_0047,journal_47,tidied up for an hour.,tidied up,DAILY_LIVING,0,9,duration,clean
gold_0322,journal_322,No smoke break today. Too exhausted.,smoke break,SUBSTANCE,3,14,negation,smoking
gold_0339,journal_339,Woke up and saw therapist around 6am.,saw therapist,WELLNESS,12,25,time,therapy
gold_0071,journal_71,Wanted to phone scrolling but couldn't find time.,phone scrolling,DIGITAL,10,25,negation,screen_time
gold_0375,journal_375,late night gaming session,gaming,ENTERTAINMENT,11,17,edge_case,gaming
gold_0040,journal_40,shopping trip today. Felt really good!,shopping trip,DAILY_LIVING,0,13,positive,shopping
gold_0224,journal_224,Another day of professional work. Getting worried.,professional work,PROFESSIONAL,15,32,negative,work
gold_0173,journal_173,Spent 30 minutes has to be perfect.,has to be perfect,MENTAL_STATE,17,34,duration,perfectionism
gold_0031,journal_31,Woke up and essay writing around 11pm.,essay writing,CREATIVE,12,25,time,write
gold_0153,journal_153,fresh air all night. Regret it now.,fresh air,LEISURE,0,9,negative,nature
gold_0125,journal_125,Avoided photography all day.,photography,HOBBIES,8,19,negation,photography
gold_0295,journal_295,Another day of church. Getting worried.,church,SPIRITUAL,15,21,negative,church_temple
gold_0256,journal_256,Finally insomnia after putting it off.,insomnia,SLEEP,8,16,positive,insomnia
gold_0079,journal_79,tv marathon when I should have been working.,tv marathon,ENTERTAINMENT,0,11,negative,binge_watch
gold_0102,journal_102,45 minutes of morning jog today.,morning jog,FITNESS,14,25,duration,running
