span_id,journal_id,text,span,gold_label
gold_0210,journal_210,multiple things at once for 3 hours.,multiple things at once,PRODUCTIVITY
gold_0281,journal_281,Spent 2 hours appreciation.,appreciation,SOCIAL
gold_0034,journal_34,No blogged today. Too exhausted.,blogged,CREATIVE
gold_0211,journal_211,Woke up and got distracted around 6am.,got distracted,PRODUCTIVITY
gold_0094,journal_94,gym time and it felt amazing.,gym time,FITNESS
gold_0085,journal_85,netflix all night at 3am.,netflix all night,ENTERTAINMENT
gold_0330,journal_330,Managed to reflecting even though I was tired.,reflecting,WELLNESS
gold_0095,journal_95,morning jog and it felt amazing.,morning jog,FITNESS
gold_0267,journal_267,before 6am at 6am.,before 6am,SLEEP
gold_0127,journal_127,read news today.,read news,INFORMATION
gold_0010,journal_10,Spent an hour overnight study.,overnight study,ACADEMICS
gold_0362,journal_362,doom scrolling,scrolling,DIGITAL
gold_0057,journal_57,endless scrolling today.,endless scrolling,DIGITAL
gold_0073,journal_73,episode after episode for about an hour.,episode after episode,ENTERTAINMENT
gold_0133,journal_133,newspaper again. Need to stop this.,newspaper,INFORMATION
gold_0043,journal_43,online shopping when I should have been working.,online shopping,DAILY_LIVING
gold_0279,journal_279,Another day of helped someone. Getting worried.,helped someone,SOCIAL
gold_0377,journal_377,mindless scrolling,scrolling,DIGITAL
gold_0232,journal_232,Avoided building something all day.,building something,PROFESSIONAL
gold_0386,journal_386,ate junk food again,ate junk food,NUTRITION
gold_0078,journal_78,Managed to movie marathon even though I was tired.,movie marathon,ENTERTAINMENT
gold_0016,journal_16,Didn't studied with friends today. Feel bad about it.,studied with friends,ACADEMICS
gold_0392,journal_392,didn't study at all,study,ACADEMICS
gold_0272,journal_272,volunteer activity like usual.,volunteer activity,SOCIAL
gold_0001,journal_1,went to lecture like usual.,went to lecture,ACADEMICS
gold_0397,journal_397,mindless scrolling,scrolling,DIGITAL
gold_0115,journal_115,Can't believe I made something for the third time this week.,made something,HOBBIES
gold_0226,journal_226,3 hours of business meeting today.,business meeting,PROFESSIONAL
gold_0263,journal_263,2 hours of up before dawn today.,up before dawn,SLEEP
gold_0105,journal_105,Woke up and riding bike around 6am.,riding bike,FITNESS
gold_0396,journal_396,excessive coffee drinking,coffee,NUTRITION
